"YEAR","startday","startmonth","endday","endmonth","startdate","enddate","bbc_start_dayno","bbc_end_dayno"
2011,16,7,7,8,2011-07-16,2011-08-07,197,219
2012,14,7,5,8,2012-07-14,2012-08-05,196,218
2013,20,7,11,8,2013-07-20,2013-08-11,201,223
2014,19,7,10,8,2014-07-19,2014-08-10,200,222
2015,17,7,9,8,2015-07-17,2015-08-09,198,221
2016,15,7,7,8,2016-07-15,2016-08-07,197,220
2017,14,7,6,8,2017-07-14,2017-08-06,195,218
2018,20,7,12,8,2018-07-20,2018-08-12,201,224
2019,19,7,11,8,2019-07-19,2019-08-11,200,223
2020,17,7,9,8,2020-07-17,2020-08-09,199,222
2021,16,7,8,8,2021-07-16,2021-08-08,197,220
2022,15,7,7,8,2022-07-15,2022-08-07,196,219
