"SPECIES","YEAR","NSITES","NSITES_POS","TRMOBS_UKBMS"
"Marbled White",2011,814,530,1.83727775314875
"Marbled White",2012,861,530,1.78957165027461
"Marbled White",2013,949,655,1.95435026641751
"Marbled White",2014,1011,701,2.10082139939419
"Marbled White",2015,1121,777,2.09714312749239
"Marbled White",2016,1159,791,1.97151908052411
"Marbled White",2017,1245,865,2.00774770594128
"Marbled White",2018,1329,925,1.96613800080124
"Marbled White",2019,1411,1146,2.18042358005476
"Marbled White",2020,1261,919,2.05298649533339
"Marbled White",2021,1447,1101,2.03157736032911
"Marbled White",2022,1533,1208,2.01044358028866
